"species_id","bwg_name","domain","kingdom","phylum","subphylum","class","subclass","ord","subord","family","subfamily","tribe","genus","species","biomass_type","r_squared","sample_size","intercept","slope","ln_intercept"
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera",NA,NA,NA,NA,NA,"dry",0.668011085650097,8,-2.53761331326687,2.07484856327302,NA
"3546","Diptera.115","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Forcipomyia",NA,"dry",0.436677365566844,30,-2.12763790799293,1.26566298904057,NA
"3551","Diptera.15","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Atrichopogon",NA,"dry",0.0609958638754985,21,-1.78901977883054,0.328774403172554,NA
"3566","Diptera.45","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Ceratopogoninae",NA,"Culicoides",NA,"dry",0.280373160285646,4,-1.19717544823335,-1.28010199611326,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Ceratopogoninae",NA,NA,NA,"dry",0.280373160285646,4,-1.19717544823335,-1.28010199611326,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,"dry",0.288370899884315,5,-1.93501428885722,0.8845136219588,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Atrichopogon",NA,"dry",0.00401557998130265,16,-1.60719436376617,0.120930369581039,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,"dry",0.00401557998130265,16,-1.60719436376617,0.120930369581039,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.742776309726702,40,-2.36729723097813,1.42238182200552,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.526493115881443,11,-2.31723803060185,1.74788849160079,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.959856562331252,4,-2.17825916495581,1.46299389431362,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.53092410266888,11,-2.30310291578352,1.57753195650548,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.778469963325754,11,-2.39432234532197,1.69068863967121,NA
"3916","Diptera.64","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Polypedilum",NA,"dry",0.742776309726702,40,-2.36729723097813,1.42238182200552,NA
"3916","Diptera.64","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Polypedilum",NA,"wet",0.963241992888484,16,-3.59787672979787,3.17943315495921,NA
"3921","Diptera.65","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Tanypodinae",NA,"Larsia",NA,"dry",0.30320917303571,8,-2.28774914958549,1.09236615414985,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Polypedilum",NA,"dry",0.654059689702082,19,-2.50293100372552,1.59675740418863,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Polypedilum",NA,"dry",0.742776309726702,40,-2.36729723097813,1.42238182200552,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Polypedilum",NA,"dry",0.53092410266888,11,-2.30310291578352,1.57753195650548,NA
"3931","Diptera.67","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Tanytarsus",NA,"dry",0.803518509022133,24,-2.40284420447279,1.51303610176289,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Tanypodinae",NA,NA,NA,"dry",0.439316569832244,7,-2.1471401047231,1.69398327532088,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,NA,NA,"dry",0.53092410266888,11,-2.30310291578352,1.57753195650548,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Tanypodinae",NA,NA,NA,"dry",0.62157393248815,16,-2.34038612122764,1.42178739717083,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Orthocladiinae",NA,NA,NA,"dry",0.526493115881443,11,-2.31723803060185,1.74788849160079,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Tanytarsus",NA,"dry",0.778469963325754,11,-2.39432234532197,1.69068863967121,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Chironominae",NA,"Tanytarsus",NA,"dry",0.893180319549688,8,-2.64944987513666,2.11927411471379,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae","Tanypodinae",NA,"Larsia",NA,"dry",0.30320917303571,8,-2.28774914958549,1.09236615414985,NA
"4366","Diptera.86","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Corethrellidae","Corethrellinae",NA,"Corethrella",NA,"dry",0.659289889368419,15,-2.17491825109955,1.21046660668496,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Corethrellidae","Corethrellinae",NA,"Corethrella",NA,"dry",0.659289889368419,15,-2.17491825109955,1.21046660668496,NA
"4521","Diptera.101","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","shopei","dry",0.935314256196617,9,-2.9020654738603,3.09752840148947,NA
"4526","Diptera.102","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"dry",0.668011085650097,8,-2.53761331326687,2.07484856327302,NA
"4541","Diptera.103","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","worontzowi","dry",0.475134537610729,9,-1.85436513763502,0.848265894692769,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"dry",0.673819047511031,15,-2.36149427563909,2.03213301070262,NA
"4551","Diptera.105","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","aphylactus","dry",0.832192092256758,11,-2.32283448036967,2.02593162325036,NA
"4566","Diptera.113","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","davisi","dry",0.385756280066198,21,-2.06411905283022,1.54602365528544,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"dry",0.880397522929125,19,-2.96049203969658,2.97963458352379,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"dry",0.810533386766322,6,-2.75887402736784,2.76971956715058,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Elateridae",NA,NA,NA,NA,"dry",0.865101630140479,8,-2.46521756801479,2.48804515461177,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,"dry",0.841128467897583,14,-2.3871463806583,2.18406598986187,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,"dry",0.865101630140479,8,-2.46521756801479,2.48804515461177,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"dry",0.832192092256758,11,-2.32283448036967,2.02593162325036,NA
"4996","Diptera.133","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Dolichopodidae",NA,NA,NA,NA,"dry",0.115019670436585,4,-2.51469001585279,3.20712951097323,NA
"5046","Diptera.134","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Empididae",NA,NA,NA,NA,"dry",0.612350138159584,14,-2.59652269502339,2.88787313301514,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Empididae",NA,NA,NA,NA,"dry",0.612350138159584,14,-2.59652269502339,2.88787313301514,NA
"5066","Coleoptera.18","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Hydrophilidae",NA,NA,NA,NA,"dry",0.711029863516838,16,-2.9828517918611,2.9157200967677,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Hydrophilidae",NA,NA,NA,NA,"dry",0.711029863516838,16,-2.9828517918611,2.9157200967677,NA
"5276","Diptera.219","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae",NA,NA,NA,NA,"dry",0.88678643950294,13,-2.71935795737469,2.38696894455939,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae",NA,NA,NA,NA,"dry",0.88678643950294,13,-2.71935795737469,2.38696894455939,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera",NA,NA,NA,NA,NA,"dry",0.225944317765627,9,-2.51565439569436,2.11543695021431,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,"dry",0.706684525708333,13,-2.41708645548634,2.91592550274643,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,"dry",0.919754736336937,7,-2.27067726018381,2.87637992503096,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,"dry",0.115019670436585,4,-2.51469001585279,3.20712951097323,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,"dry",0.251297987894178,57,-0.715434199150948,1.04848756699658,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Syrphidae",NA,NA,NA,NA,"dry",0.251297987894178,57,-0.715434199150948,1.04848756699658,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,"dry",0.919754736336937,7,-2.27067726018381,2.87637992503096,NA
"5651","Diptera.253","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,"dry",0.919754736336937,7,-2.27067726018381,2.87637992503096,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae","Tabaninae",NA,"Stibasoma",NA,"wet",0.999069224473358,3,-1.70223473706002,3.08566358033319,NA
"5706","Diptera.237","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae","Tabaninae",NA,"Stibasoma","fulvohirtum","wet",0.999069224473358,3,-1.70223473706002,3.08566358033319,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,"dry",0.711029863516838,16,-2.9828517918611,2.9157200967677,NA
"5776","Diptera.278","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,"dry",0.886855457220976,28,-2.63004554803835,2.32188727381856,NA
"5816","Diptera.269","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Limoniidae","Limoniinae",NA,"Trentepohlia",NA,"wet",0.980337028000763,10,-2.54687224938488,3.05947076303358,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,"dry",0.886855457220976,28,-2.63004554803835,2.32188727381856,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Limoniidae",NA,NA,NA,NA,"wet",0.980337028000763,10,-2.54687224938488,3.05947076303358,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Limoniidae","Limoniinae",NA,NA,NA,"wet",0.980337028000763,10,-2.54687224938488,3.05947076303358,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Limoniidae","Limoniinae",NA,"Trentepohlia",NA,"wet",0.980337028000763,10,-2.54687224938488,3.05947076303358,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.572932612111803,14,-2.2796572326597,2.08107978298815,NA
"6091","Coleoptera.27","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.572932612111803,14,-2.2796572326597,2.08107978298815,NA
"6146","Coleoptera.28","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.841128467897583,14,-2.3871463806583,2.18406598986187,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Lepidoptera",NA,NA,NA,NA,NA,NA,"dry",0.887374520423362,9,-2.61325996977115,2.4552919244695,NA
"6201","Coleoptera.29","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.918778168365258,16,-2.715914860336,2.40205486966694,NA
"6251","Odonata.3","Eukarya","Animalia","Arthropoda",NA,"Insecta","Palaeoptera","Odonata","Zygoptera","Coenagrionidae",NA,NA,"Leptagrion","andromache","dry",0.960058261048532,18,-2.41895055406127,2.48778351287352,NA
"6256","Coleoptera.30","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.891684752258335,13,-2.2923562211881,2.19568152762777,NA
"6261","Odonata.5","Eukarya","Animalia","Arthropoda",NA,"Insecta","Palaeoptera","Odonata","Zygoptera","Coenagrionidae",NA,NA,"Leptagrion","andromache","dry",0.960058261048532,18,-2.41895055406127,2.48778351287352,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Palaeoptera","Odonata","Zygoptera","Coenagrionidae",NA,NA,"Leptagrion",NA,"dry",0.960058261048532,18,-2.41895055406127,2.48778351287352,NA
"6281","Odonata.4","Eukarya","Animalia","Arthropoda",NA,"Insecta","Palaeoptera","Odonata","Zygoptera","Pseudostigmatidae",NA,NA,"Mecistogaster","modesta","wet",0.977662084213884,28,-1.49103574889887,2.78662043899398,NA
"6521","Coleoptera.31","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"wet",0.944796300609338,9,-1.13701800585174,1.98465618318617,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,"dry",0.841128467897583,14,-2.3871463806583,2.18406598986187,NA
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Dugesia","polychroa","dry",NA,7820,0.0009669,0.0022326,NA
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Girardia","","dry",0.86,28,NA,1.91,-4.01
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Lumbricina","Lumbriculidae",NA,NA,"","","dry",0.74,28,NA,3.25,-9.19
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Tubificina","Naididae",NA,NA,"","","dry",0.57,20,NA,0.74,-2.58
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Helobdella","stagnalis","wet",0.595,19,NA,0.88,-1.69
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","octoculata","wet",0.781,63,NA,0.8,-0.96
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Glossiphonia","complanata","wet",0.633,97,NA,0.66,-0.18
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.935,138,NA,0.5609,-0.2886
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.971,134,NA,0.7849,0.0922
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.717,81,NA,1.772,1.31
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.721,71,NA,1.524,0.9936
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Daphnia","ambigua","dry",0.921,81,NA,2.418,1.169
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","silvestrii","dry",0.798,76,NA,1.76,1.45
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","","dry",1,12,NA,2.37,-4.71
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Discoconchoecia","pseudodiscophora","dry",0.992,8,-7.751,2.61,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Metaconchoecia","skogsbergi","dry",0.996,7,-7.143,2.42,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Orthoconchoecia","haddoni","dry",0.996,8,-7.511,2.53,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","","",NA,NA,"","","dry",NA,NA,NA,2.761,3.682
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Dugesia","polychroa","dry",NA,7820,0.0009669,0.0022326,NA
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Girardia","","dry",0.86,28,NA,1.91,-4.01
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Lumbricina","Lumbriculidae",NA,NA,"","","dry",0.74,28,NA,3.25,-9.19
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Tubificina","Naididae",NA,NA,"","","dry",0.57,20,NA,0.74,-2.58
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Helobdella","stagnalis","wet",0.595,19,NA,0.88,-1.69
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","octoculata","wet",0.781,63,NA,0.8,-0.96
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Glossiphonia","complanata","wet",0.633,97,NA,0.66,-0.18
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.935,138,NA,0.5609,-0.2886
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.971,134,NA,0.7849,0.0922
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.717,81,NA,1.772,1.31
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.721,71,NA,1.524,0.9936
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Daphnia","ambigua","dry",0.921,81,NA,2.418,1.169
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","silvestrii","dry",0.798,76,NA,1.76,1.45
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","","dry",1,12,NA,2.37,-4.71
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Discoconchoecia","pseudodiscophora","dry",0.992,8,-7.751,2.61,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Metaconchoecia","skogsbergi","dry",0.996,7,-7.143,2.42,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Orthoconchoecia","haddoni","dry",0.996,8,-7.511,2.53,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","","",NA,NA,"","","dry",NA,NA,NA,2.761,3.682
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Dugesia","polychroa","dry",NA,7820,0.0009669,0.0022326,NA
NA,NA,"Eukaryota","Animalia","Platyhelminthes","","Turbellaria","","Tricladida","","Dugesiidae",NA,NA,"Girardia","","dry",0.86,28,NA,1.91,-4.01
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Lumbricina","Lumbriculidae",NA,NA,"","","dry",0.74,28,NA,3.25,-9.19
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Oligochaeta","Haplotaxida","Tubificina","Naididae",NA,NA,"","","dry",0.57,20,NA,0.74,-2.58
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Helobdella","stagnalis","wet",0.595,19,NA,0.88,-1.69
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","octoculata","wet",0.781,63,NA,0.8,-0.96
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Rhynchobdellida","","Glossiphoniidae",NA,NA,"Glossiphonia","complanata","wet",0.633,97,NA,0.66,-0.18
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.935,138,NA,0.5609,-0.2886
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Cyclopoida","","Cyclopidae",NA,NA,"Thermocyclops","minutus","dry",0.971,134,NA,0.7849,0.0922
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.717,81,NA,1.772,1.31
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","cornuta","dry",0.721,71,NA,1.524,0.9936
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Daphnia","ambigua","dry",0.921,81,NA,2.418,1.169
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Cladocera","","Daphniidae",NA,NA,"Ceriodaphnia","silvestrii","dry",0.798,76,NA,1.76,1.45
NA,NA,"Eukaryota","Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Pharyngobdella","Erpobdellidae",NA,NA,"Erpobdella","","dry",1,12,NA,2.37,-4.71
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Discoconchoecia","pseudodiscophora","dry",0.992,8,-7.751,2.61,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Metaconchoecia","skogsbergi","dry",0.996,7,-7.143,2.42,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Halocyprida","Holocypridina","Halocyprididae",NA,NA,"Orthoconchoecia","haddoni","dry",0.996,8,-7.511,2.53,NA
NA,NA,"Eukaryota","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","","",NA,NA,"","","dry",NA,NA,NA,2.761,3.682
