"bromeliad_id","class","order","family","subfamily","genus","species","n","stage","AS1","AS2","AS3","AS4","BS1","BS2","BS3","BS4","BS5","DM1","DM2","FD1","FD2","FD3","FD4","FD5","FD6","FD7","FD8","FG1","FG2","FG3","FG4","FG5","FG6","RE1","RE2","RE3","RE4","RE5","RE6","RE7","RE8","RF1","RF2","RF3","RF4","LO1","LO2","LO3","LO4","LO5","LO6","LO7","RM1","RM2","RM3","RM4","RM5","MD1","MD2","MD3","MD4","MD5","MD6","MD7","MD8","CP1","CP2","CP3","BF1","BF2","BF3","BF4"
"B1","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",17,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B1","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",19,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B1","Hexapoda","Diptera","Ceratopogonidae","Forcipomyiinae",NA,"sp1",1,"larva",3,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,3,0,0,0,3,2,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,3,0
"B1","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",1,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B1","Hexapoda","Diptera","Cecidomyiidae",NA,NA,"sp1",1,"larva",1,3,1,0,0,3,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,3,2,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
"B2","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",12,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B2","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",7,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B2","Hexapoda","Diptera",NA,NA,NA,"sp1",1,"larva",1,3,2,0,0,1,1,2,3,0,3,3,2,2,2,0,2,0,1,2,1,2,2,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,3,1,0,0,0,0,0,3,0,3,1,1,0,0,0,0,0,2,3,0,0,0,1,2
"B2","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",3,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B2","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",5,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B2","Hexapoda","Odonata","Coenagrionidae",NA,NA,"sp1",1,"larva",2,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"B2","Hexapoda","Diptera","Ceratopogonidae","Ceratopogoninae",NA,"sp3",1,"larva",3,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,3,0,0,0,3,2,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,3,0
"B2","Hexapoda","Diptera","Chironomidae","Tanypodinae",NA,"sp1",1,"larva",3,3,3,0,0,0,3,0,0,3,1,3,3,1,3,0,1,0,0,1,0,1,3,0,0,0,1,0,3,0,0,0,1,1,0,1,2,0,0,0,3,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B2","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",3,"larva",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B2","Ostracoda","Podocopa",NA,NA,NA,"sp1",6,"unknown",3,3,0,3,3,0,0,0,0,3,0,0,3,3,0,1,3,1,0,3,1,0,3,0,1,3,3,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3
"B2","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",1,"adult",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B2","Hexapoda","Diptera","Psychodidae",NA,NA,"sp1",1,"larva",3,3,3,0,0,0,2,2,0,1,3,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,1,0,2,3,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,3,0,0,0,0,3,0
"B5","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",15,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B5","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",18,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B5","Hexapoda","Odonata","Coenagrionidae",NA,NA,"sp1",2,"larva",2,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"B5","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",1,"pupa",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B5","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",1,"larva",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B6","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",31,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B6","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",11,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B6","Hexapoda","Diptera","Chironomidae","Tanypodinae",NA,"sp1",2,"larva",3,3,3,0,0,0,3,0,0,3,1,3,3,1,3,0,1,0,0,1,0,1,3,0,0,0,1,0,3,0,0,0,1,1,0,1,2,0,0,0,3,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B6","Hexapoda","Odonata","Coenagrionidae",NA,NA,"sp1",1,"larva",2,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"B6","Hexapoda","Diptera","Psychodidae",NA,NA,"sp1",1,"larva",3,3,3,0,0,0,2,2,0,1,3,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,1,0,2,3,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,3,0,0,0,0,3,0
"B6","Hexapoda","Coleoptera","Hydrophilidae",NA,NA,"sp1",1,"larva",3,3,2,2,0,3,0,0,0,0,3,0,0,2,0,2,2,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0,0,3,1,0,3,3,2,0,0,1,1,1,3,0,0,0,0,0,0,3,0,0,0,3,2,0,3,0,0
"B6","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",1,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B6","Clitellata","Haplotaxida","Enchytraeidae",NA,NA,"sp1",1,"unknown",3,3,0,3,2,0,2,2,2,3,0,1,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,3,3,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,3,0
"B7","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",2,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B7","Clitellata","Haplotaxida","Enchytraeidae",NA,NA,"sp1",2,"unknown",3,3,0,3,2,0,2,2,2,3,0,1,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,3,3,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,3,0
"B7","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",1,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B4","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",6,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B4","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",8,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B4","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",1,"larva",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B4","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",2,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B4","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",1,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B3","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",3,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B3","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",10,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B3","Clitellata","Haplotaxida","Enchytraeidae",NA,NA,"sp1",2,"unknown",3,3,0,3,2,0,2,2,2,3,0,1,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,3,3,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,3,0
"B3","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",1,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B3","Hexapoda","Diptera","Chironomidae","Tanypodinae",NA,"sp1",1,"larva",3,3,3,0,0,0,3,0,0,3,1,3,3,1,3,0,1,0,0,1,0,1,3,0,0,0,1,0,3,0,0,0,1,1,0,1,2,0,0,0,3,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B3","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",1,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B3","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",1,"larva",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B17","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp1",57,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B17","Ostracoda","Podocopa",NA,NA,NA,"sp1",10,"unknown",3,3,0,3,3,0,0,0,0,3,0,0,3,3,0,1,3,1,0,3,1,0,3,0,1,3,3,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3
"B17","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",5,"larva",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B17","Clitellata","Haplotaxida","Enchytraeidae",NA,NA,"sp1",3,"unknown",3,3,0,3,2,0,2,2,2,3,0,1,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,3,3,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,3,0
"B17","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",3,"larva",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
"B17","Hexapoda","Diptera","Limoniidae",NA,NA,"sp1",1,"pupa",3,3,1,0,0,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B17","Hexapoda","Coleoptera","Scirtidae",NA,NA,"sp1",3,"larva",3,3,0,0,0,0,2,3,0,0,3,3,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,3,0,0,0,3,0,0,3,0,0,0,1,3,0,3,0,0
"B17","Hexapoda","Diptera","Dolichopodidae",NA,NA,"sp1",2,"larva",3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,0,3,0,1,2,1,1,1,0,0,0,3,0,0,0,0,0,3,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"B17","Hexapoda","Diptera","Chironomidae","Chironominae","Polypedilum","sp2",3,"larva",3,3,3,0,0,0,3,1,0,3,1,3,3,1,3,1,0,0,0,1,0,1,3,0,0,0,0,0,1,3,1,0,0,1,0,1,2,0,0,0,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0
"B13","Hexapoda","Coleoptera","Dytiscidae",NA,NA,"sp1",1,"adult",3,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,3,2,0,0,1,1,0,3,0,0,0,3,2,0,0,3,0
